------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111100\PC_SE_01111110X\mza.json ----------------------------
------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111300\PC_SE_011111300\mza.json ----------------------------
ERROR | ROW: 0 | GEOMETRY: Polygon | CVEGEO: 0300100012224020
ERROR - ROW: 121 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400002
ERROR - ROW: 131 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400005
ERROR - ROW: 134 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A007
ERROR - ROW: 139 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398015
ERROR - ROW: 144 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398013
ERROR - ROW: 169 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398014
ERROR - ROW: 172 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400001
ERROR - ROW: 175 | GEOMETRY: MultiPolygon | CVEGEO: 1904900270398008
ERROR - ROW: 183 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A014
ERROR - ROW: 187 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398011
ERROR - ROW: 201 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453009
ERROR - ROW: 204 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398002
ERROR - ROW: 206 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453010
ERROR - ROW: 218 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400003
ERROR - ROW: 221 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400006
ERROR - ROW: 226 | GEOMETRY: MultiPolygon | CVEGEO: 1904900270398006
ERROR - ROW: 242 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400005
ERROR - ROW: 251 | GEOMETRY: MultiPolygon | CVEGEO: 1904900270398005
ERROR - ROW: 256 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400007
ERROR - ROW: 259 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A004
ERROR - ROW: 265 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400007
ERROR - ROW: 276 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453002
ERROR - ROW: 281 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A016
ERROR - ROW: 282 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A005
ERROR - ROW: 284 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400008
ERROR - ROW: 295 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A013
ERROR - ROW: 297 | GEOMETRY: MultiPolygon | CVEGEO: 1904900270398002
ERROR - ROW: 299 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398012
ERROR - ROW: 300 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A008
ERROR - ROW: 303 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453008
ERROR - ROW: 312 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400009
ERROR - ROW: 323 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400009
ERROR - ROW: 338 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A006
ERROR - ROW: 339 | GEOMETRY: MultiPolygon | CVEGEO: 1904900380025800
ERROR - ROW: 341 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400002
ERROR - ROW: 346 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453013
ERROR - ROW: 354 | GEOMETRY: MultiPolygon | CVEGEO: 1904900280415800
ERROR - ROW: 355 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398005
